id,name,year_founded,country,industry,founder_count,founder_experience,previous_startups,product_stage,product_uniqueness,competitors_count,revenue,burn_rate,total_investment,active_users,user_growth_rate,retention,user_reviews,nps,innovation_score,financial_stability,risk_score,cash_reserves,market_size,market_growth_rate,success
2715,Stevenson-Murphy,2007,Singapore,IoT,4,14,0,Growth,8,0,3130238.03,1146358.87,16980031.02,829068.0,10.34,95.14,73,-7,10,7.0,0,16307276.08,766741704.47,14.06,Unclear
2716,Stewart-Buchanan,2014,China,FoodTech,1,13,0,Idea,1,3,713381.11,938403.97,13921126.59,91243.0,62.38,83.16,20,83,3,8.0,3,11231311.72,598220300.34,38.55,Fail
2717,Meyer Group,2023,Canada,SaaS,4,1,0,Growth,2,0,1476137.56,1485353.84,12806848.63,334279.0,41.94,44.03,66,43,0,4.0,0,8577644.26,717246045.06,18.9,Fail
2718,"Hess, Christensen and Perez",2013,Germany,HealthTech,5,6,0,Maturity,3,2,3408793.8,1999678.58,7130642.51,32879.0,78.87,74.26,82,28,6,9.0,5,4937994.76,536730427.45,46.15,Unclear
2719,"Rivera, Allen and Ryan",2024,UK,E-Commerce,3,16,0,Idea,9,10,20231.46,1421076.72,7534548.3,12977.0,27.37,99.81,27,52,10,1.0,3,6905342.24,276384927.3,5.69,Success
2720,"Mcneil, Solis and Horton",2017,Singapore,FoodTech,4,17,1,Maturity,0,6,7217550.03,1356100.83,16911223.81,618134.0,38.28,87.1,65,-37,1,4.0,4,15756234.41,473386495.69,8.62,Fail
2721,Franklin Group,2011,China,FoodTech,2,5,1,MVP,10,0,8806830.47,1308875.43,14269677.57,561526.0,16.74,0.12,26,-9,7,9.0,5,10620630.19,589779371.9,9.27,Fail
2722,"Morris, Ramos and Smith",2018,USA,FinTech,2,20,0,Growth,3,4,5685283.18,1390423.34,13406331.61,341306.0,25.25,73.79,31,-58,9,2.0,1,10864205.75,245163170.01,14.27,Unclear
2723,Jones-Lee,2013,UK,FinTech,4,7,0,Idea,3,0,25872.11,684224.93,612986.57,15649.2,18.92,89.79,11,-87,10,10.0,0,0.0,855533668.96,45.03,Unclear
2724,"Braun, Mays and Martinez",2023,Canada,CleanTech,3,1,0,Idea,8,5,217625.31,640439.49,3686392.71,36262.1,2.43,32.78,64,75,0,3.0,9,3642552.04,417340533.12,18.83,Success
2725,Watkins and Sons,2019,France,Blockchain,4,0,1,Maturity,7,8,4384691.35,1568675.96,19252489.2,658438.0,4.62,97.75,45,-33,1,6.0,1,14589221.0,718061838.2,23.07,Success
2726,Romero Group,2024,UK,Blockchain,3,15,0,Scale,1,2,5875812.21,106176.03,9087425.0,387633.0,83.56,40.13,39,-87,7,1.0,5,8887391.01,944641039.79,21.14,Fail
2727,"Mcdonald, Martin and Gonzalez",2018,China,EdTech,3,6,0,Idea,6,10,496276.34,1518495.48,15627864.6,32906.3,80.38,42.12,92,42,4,5.0,9,14781771.34,421347199.49,40.34,Success
2728,Thompson-Wright,2010,Australia,E-Commerce,5,10,0,Maturity,5,10,9158660.46,1627683.17,7786504.52,39489.0,14.07,16.09,8,44,4,10.0,8,5311894.15,466735736.68,18.82,Success
2729,Ray-Faulkner,2008,Australia,Blockchain,2,14,1,Idea,6,5,938636.32,1043195.92,15286457.54,79040.20000000001,66.79,9.66,81,-9,10,0.0,7,12719893.46,191780767.21,41.62,Fail
2730,Nelson Group,2012,Australia,Blockchain,2,12,1,MVP,10,3,1071524.63,1820296.19,2384251.36,704873.0,74.56,53.66,61,79,6,4.5,9,1613791.5,382344574.06,24.1,Success
2731,Tapia LLC,2021,Canada,CleanTech,3,1,1,MVP,3,5,1383908.78,946174.87,842560.39,988118.0,5.13,60.28,99,37,3,2.0,10,0.0,533831609.75,12.17,Fail
2732,Gray-Ruiz,2013,China,E-Commerce,2,13,0,Growth,4,1,3580549.12,356173.34,9323531.43,35579.0,8.85,36.69,15,-84,8,10.0,0,8582450.07,237293720.88,21.54,Success
2733,Wagner-Moss,2005,USA,CleanTech,1,5,0,Maturity,5,3,4212348.82,722797.3,11832923.93,707334.0,56.3,60.66,98,35,2,6.0,4,10937762.17,35878458.08,19.83,Fail
2734,Weiss Group,2024,India,SaaS,3,8,1,Growth,8,6,5860666.93,1811735.01,6474037.83,779971.0,37.42,39.47,99,-99,7,10.0,6,3530325.24,265210541.36,12.08,Fail
2735,Gill Group,2018,Israel,CleanTech,2,6,0,Scale,1,10,7731597.5,1987476.58,14320092.56,243700.0,69.94,86.82,67,83,2,4.0,7,9327502.78,685748230.76,6.12,Fail
2736,Blake LLC,2015,Israel,CleanTech,1,17,1,Idea,10,5,135767.71,843707.93,9916392.98,80043.8,55.77,95.38,39,-36,7,7.0,6,7507371.8,859674674.72,42.07,Success
2737,"Medina, Tran and Thompson",2007,France,AI,5,8,1,Scale,8,8,8026396.96,333693.09,18566336.95,976135.0,3.1,59.35,34,82,0,6.0,0,18011549.32,139724446.88,25.78,Success
2738,Ford-Chavez,2013,China,AI,2,3,0,Growth,9,10,6100283.13,572658.56,1699810.35,938783.0,68.37,84.23,82,18,9,6.0,3,492720.32,675027344.99,12.14,Fail
2739,Hart-Castillo,2018,Singapore,IoT,1,8,0,MVP,0,6,9808844.61,1106592.69,1331367.29,603765.0,20.39,85.37,59,96,9,0.0,3,259722.57,346609992.79,21.31,Success
2740,Taylor-Harrison,2013,Canada,FinTech,4,3,0,Idea,3,0,651167.68,1144191.84,18102437.04,63732.3,31.26,71.38,69,-2,6,0.0,8,16955758.88,308071857.01,30.29,Success
2741,Hendricks Inc,2008,Canada,IoT,4,11,0,Growth,4,5,7160915.05,1260118.81,13382142.66,472376.0,73.64,19.2,94,6,0,5.0,5,10023656.43,438373842.77,35.99,Success
2742,Hensley Ltd,2008,Germany,Blockchain,1,3,1,Maturity,8,10,1952088.66,1670706.75,13422365.76,623497.0,77.13,15.49,90,16,1,7.0,5,12927881.27,871979723.9,31.01,Success
2743,"Brooks, Sullivan and Perry",2012,Australia,SaaS,3,19,1,Growth,5,2,7688619.55,1422428.3,551104.45,483277.0,34.58,91.95,2,100,10,1.0,4,0.0,584810884.95,11.7,Fail
2744,Waller-Brooks,2006,Canada,IoT,3,13,1,Growth,3,7,792661.78,521680.45,18753504.51,640858.0,8.92,26.51,52,63,10,7.0,4,18331109.12,644269301.61,5.52,Fail
2745,Parker-Archer,2013,UK,Blockchain,2,6,1,Scale,1,0,6565304.36,790088.12,15436501.12,229867.0,76.97,24.63,99,-92,0,7.0,8,15212851.73,123353831.37,3.69,Fail
2746,Ortiz Inc,2018,Australia,Blockchain,4,12,1,Growth,4,9,555729.09,1679633.17,15286296.36,392980.0,87.02,16.61,58,41,9,0.0,1,11922242.38,129459526.3,5.4,Fail
2747,Cruz PLC,2013,India,AI,3,7,1,Scale,7,1,1152258.21,1266765.34,18238592.83,144787.0,96.43,52.75,35,-27,2,10.0,9,14794487.62,507309850.58,17.29,Unclear
2748,Lee Group,2020,France,AI,3,4,0,Growth,7,2,1078662.74,332836.1,11563063.32,702840.0,31.78,67.7,65,-79,8,4.0,4,11536108.63,721143071.23,17.75,Fail
2749,Wise-Walton,2021,UK,HealthTech,4,11,1,Maturity,5,2,524840.65,651077.61,7893327.81,253571.0,12.39,67.62,36,-85,0,8.0,0,7400538.28,203580648.85,48.91,Fail
2750,Hicks-Burns,2020,UK,CleanTech,5,12,0,Idea,10,6,321138.92,1582181.82,9613583.37,12763.400000000001,93.77,26.11,78,68,2,10.0,4,5243856.56,552324336.32,1.13,Success
2751,"Richardson, Brown and Cruz",2016,India,E-Commerce,3,19,0,MVP,0,7,9943524.58,344188.25,15544814.07,827932.0,39.98,9.48,100,94,1,9.0,3,15064019.83,917269873.18,31.61,Fail
2752,Fitzgerald-Allen,2007,Germany,HealthTech,1,13,1,Growth,7,8,3482253.68,1382101.31,15374599.65,232262.0,9.35,31.02,86,55,4,9.0,3,11702507.55,517612157.05,25.56,Success
2753,Dorsey LLC,2015,Canada,Blockchain,2,17,1,Idea,3,6,760775.91,1127073.07,12191732.43,79903.90000000001,49.88,50.34,43,-7,6,10.0,3,8999729.23,485906368.24,7.28,Success
2754,"Mann, Johnson and Wade",2018,Germany,IoT,3,19,0,Growth,1,7,1323170.16,294949.81,4361607.2,776180.0,19.05,61.24,63,56,5,2.0,2,3484777.75,589429546.05,47.43,Success
2755,Green Group,2022,Canada,HealthTech,3,3,0,MVP,0,10,4544910.8,1377757.85,16377681.83,571616.0,35.53,27.06,50,92,9,8.0,5,14742081.56,695527615.36,40.55,Success
2756,"Hernandez, Wright and Lane",2009,China,E-Commerce,5,20,1,Maturity,6,5,1851158.36,284697.94,12944831.36,344519.0,32.04,18.32,5,55,4,10.0,2,12651898.02,309070683.13,11.04,Success
2757,"Skinner, Smith and Wise",2020,China,IoT,1,17,1,Idea,1,1,192097.17,796871.16,4425240.42,36109.8,98.73,84.16,96,-15,2,8.0,5,2635535.54,341257416.83,14.6,Success
2758,"Dawson, Cruz and Mccarthy",2024,UK,Blockchain,2,6,0,Idea,3,0,99690.04,617119.85,9612889.0,9142.4,63.95,85.79,68,-69,6,0.0,5,8512146.03,164979207.26,10.0,Unclear
2759,Stone and Sons,2009,UK,FinTech,3,14,1,Maturity,3,2,4320441.53,1380019.91,19944126.61,509208.0,49.18,28.0,20,79,8,1.0,10,17214984.02,949336448.22,15.42,Fail
2760,Martin-Simmons,2007,USA,FoodTech,2,20,1,MVP,9,8,755349.21,1564724.71,6567596.78,315808.0,51.38,56.01,56,-90,1,2.0,9,4068593.01,57042165.31,11.4,Success
2761,"Turner, Ponce and Barrett",2016,India,Blockchain,4,5,1,Growth,0,6,9098113.56,336633.16,2331212.3,505315.0,60.41,43.98,27,53,5,3.0,1,1811981.06,466145568.92,12.89,Fail
2762,Willis-Gross,2005,Israel,CleanTech,3,15,1,Maturity,1,1,4479003.22,1623993.49,433348.34,740889.0,87.28,14.2,84,58,4,2.0,8,0.0,686732150.8,25.83,Unclear
2763,"Booth, Rodriguez and Armstrong",2013,China,CleanTech,3,19,1,Maturity,0,0,8385661.41,14428.11,3692647.14,434979.0,14.6,94.06,23,-81,8,4.0,9,3666866.98,713671432.51,16.88,Success
2764,Olsen-Adams,2013,India,FoodTech,4,7,0,Maturity,5,1,9794644.5,1060117.09,3739326.12,457482.0,59.96,0.98,91,-17,7,4.5,7,2886307.83,630047047.11,24.49,Fail
2765,Conrad Group,2008,UK,Blockchain,5,20,1,Growth,2,2,6777791.79,1033577.78,17161368.9,582429.0,32.22,18.76,74,96,8,10.0,6,16058565.72,347162071.12,1.53,Success
2766,"Parker, Benitez and Velasquez",2007,Germany,Blockchain,3,15,1,MVP,0,5,9015107.57,1247642.86,3123094.98,691512.0,57.14,34.56,62,68,6,2.0,8,762824.87,86445063.14,37.07,Fail
2767,Davis Ltd,2021,UK,CleanTech,2,15,0,Scale,7,8,1353675.21,479401.06,17253018.84,692832.0,51.77,85.65,21,-34,4,2.0,7,16337421.58,932792154.14,46.41,Fail
2768,Warren-Pena,2006,Germany,HealthTech,1,2,0,Maturity,3,7,8299936.46,19713.66,1734330.17,163465.0,2.99,78.87,33,-57,3,5.0,8,1700198.9,198552596.59,49.82,Fail
2769,"Jordan, Thompson and Lopez",2005,Canada,CleanTech,2,16,1,Idea,9,9,271217.33,909525.83,18132886.0,45257.200000000004,58.25,57.99,36,87,7,3.0,7,16291834.92,909622594.19,10.03,Success
2770,Gonzalez and Sons,2012,Israel,AI,5,8,1,MVP,6,8,4725980.39,142812.42,5127070.04,174872.0,70.92,69.5,40,-6,1,8.0,2,4950590.98,233217568.84,19.2,Fail
2771,"Fry, Hayes and Olsen",2017,Singapore,IoT,1,2,0,Scale,9,10,6465826.49,1784387.77,12229961.24,317023.0,24.6,34.09,80,5,0,1.0,9,9048294.49,79821638.34,48.68,Fail
2772,Harris Ltd,2019,Singapore,E-Commerce,2,19,1,Idea,1,10,903543.59,347332.65,3194543.7,85190.70000000001,10.69,94.05,78,34,2,10.0,0,3095255.84,92754392.7,10.61,Success
2773,Lamb and Sons,2012,Singapore,Blockchain,2,6,1,Idea,5,7,910993.8,850465.93,7801112.63,53554.200000000004,21.16,2.68,92,-7,6,0.0,10,6566939.31,364821014.88,26.97,Fail
2774,Bird-Savage,2016,Canada,FoodTech,4,17,1,MVP,5,6,921023.77,868000.78,1715356.09,517176.0,63.64,10.09,97,-47,0,6.0,5,189295.31,160453320.0,39.96,Success
2775,Sims-Weber,2016,UK,IoT,5,11,0,Maturity,6,5,3645554.89,1105729.3,11590564.09,851066.0,46.88,92.56,42,90,4,8.0,2,10190026.62,487623496.46,1.42,Success
2776,"Martin, Carter and Gray",2018,USA,FoodTech,4,18,1,Maturity,0,7,7931752.07,1565064.7,6917549.73,16102.0,86.53,94.51,21,-19,4,9.0,2,6837895.92,459275850.36,5.25,Success
2777,Brown-Johnson,2019,UK,SaaS,1,15,1,Maturity,0,5,7031568.89,944296.3,17043001.67,19029.0,28.5,49.06,90,-88,2,8.0,5,15057142.46,837878696.85,9.83,Unclear
2778,Woods Ltd,2019,China,E-Commerce,4,16,0,Maturity,1,1,263524.45,51506.53,3636329.57,939317.0,36.51,57.65,14,-68,10,2.0,9,3565947.48,698787669.76,22.78,Success
2779,Smith LLC,2013,Singapore,SaaS,5,19,1,Scale,10,8,4498894.05,1542220.82,5599761.29,323122.0,52.81,90.25,20,34,0,10.0,8,4879419.76,701405185.32,0.76,Success
2780,Ortega Inc,2023,UK,AI,3,14,1,Maturity,1,8,8292530.95,164346.63,3545093.55,589027.0,46.0,85.34,51,57,4,0.0,4,3065603.55,594813744.49,21.56,Fail
2781,Clark Inc,2024,Australia,AI,3,0,1,Idea,4,2,737684.44,1283106.58,11276455.6,39526.9,54.78,86.2,3,-90,7,8.0,0,7648803.2,56938355.26,8.08,Fail
2782,Morrison-Hatfield,2012,Australia,FoodTech,1,1,1,Maturity,0,8,4118497.92,1606859.02,2234943.68,937402.0,31.21,37.18,46,-31,8,3.0,9,1469983.74,749779554.56,42.49,Fail
2783,Frederick-Kennedy,2023,China,AI,3,7,0,Idea,10,1,735161.12,565380.34,3787140.11,62290.100000000006,16.67,83.05,17,-80,5,7.0,6,2587617.58,364965437.79,24.32,Fail
2784,Munoz-Rogers,2010,Canada,HealthTech,4,1,0,Maturity,1,2,5512107.09,898212.96,13569798.87,647952.0,80.33,6.93,70,-69,0,10.0,8,12175282.22,837824256.74,3.56,Fail
2785,"Wu, Key and Montoya",2024,USA,SaaS,1,18,1,Scale,5,5,9126289.98,28671.68,1488290.53,685977.0,3.93,48.7,79,32,4,5.0,9,1463406.66,254154336.03,23.14,Fail
2786,Ortega-Gray,2023,India,SaaS,5,8,1,Maturity,2,3,5871271.74,1607750.4,14863273.44,80727.0,36.97,23.74,34,5,1,9.0,1,11562375.79,673409156.89,24.01,Fail
2787,Hester LLC,2008,Canada,FoodTech,1,8,1,Maturity,3,7,4007341.79,1406522.18,2086669.78,807816.0,8.74,3.58,75,-8,0,2.5,8,197038.37,607712683.58,14.98,Fail
2788,Smith Ltd,2011,Canada,AI,1,12,1,Scale,0,0,8629206.25,462774.79,11709775.19,201729.0,73.63,61.72,6,-66,2,10.0,4,10462356.23,120909391.33,18.39,Fail
2789,Hardy-Barron,2008,UK,SaaS,2,5,0,Growth,4,5,498688.42,780452.4,19956189.11,884499.0,36.55,7.62,40,-54,10,3.0,0,18308732.75,144947133.5,48.53,Fail
2790,Johnson Inc,2016,Singapore,IoT,2,14,0,Growth,3,1,9005106.44,1390633.0,3477858.14,743002.0,3.0,12.02,9,-89,9,0.5,3,1360261.43,999887864.8,12.36,Fail
2791,"Ramirez, Lyons and Briggs",2017,France,FinTech,1,18,0,MVP,7,5,6963468.14,716326.24,5221726.37,359173.0,7.59,8.17,61,-64,4,0.0,7,4250636.74,342146290.65,33.83,Fail
2792,Hayes-Parks,2007,Australia,IoT,3,20,1,Maturity,2,0,9406058.6,324829.55,17968533.08,236273.0,19.86,97.5,64,-57,8,5.0,2,17937762.91,413406534.73,33.05,Success
2793,Robertson-Keller,2016,Singapore,SaaS,2,14,1,Growth,9,1,2505048.69,1037011.06,12525730.69,786394.0,78.69,3.92,11,-79,6,8.0,4,12025306.3,856921785.96,21.12,Unclear
2794,Andersen LLC,2006,Germany,SaaS,5,17,1,MVP,0,8,6949213.65,1447135.14,9850625.98,87414.0,79.92,26.98,90,38,5,9.0,1,9654930.38,634721917.22,46.61,Unclear
2795,Schultz Inc,2006,Canada,IoT,4,6,0,Growth,9,5,8094632.67,641619.01,11254101.95,48373.0,99.66,65.2,27,-14,8,9.0,4,11132009.04,682357375.22,38.48,Fail
2796,"Nguyen, Wallace and Lawson",2013,Germany,SaaS,2,10,0,MVP,4,7,7021025.8,243544.54,5909906.89,712151.0,24.09,82.34,57,-46,5,1.0,8,5860887.0,640101915.11,1.05,Success
2797,Stevenson-Bauer,2005,Germany,AI,1,7,0,Growth,0,6,2103337.02,1659088.32,17106435.64,468558.0,6.04,60.82,55,-91,10,0.0,2,17036344.13,330168390.34,24.28,Fail
2798,Patterson-Huynh,2012,India,EdTech,3,5,0,MVP,10,8,2755895.68,505603.73,14905380.5,533807.0,28.31,97.65,17,69,3,0.0,6,13705057.49,830899314.07,5.7,Unclear
2799,Hatfield-Vincent,2010,India,EdTech,4,7,0,Scale,4,8,5667423.48,1025629.91,12849328.65,999481.0,17.88,33.77,64,16,6,6.0,5,11376816.49,43404527.91,14.34,Fail
2800,Navarro LLC,2010,India,EdTech,2,1,1,Growth,8,10,4467506.03,1382686.3,18634851.96,427232.0,71.04,47.2,56,-21,1,0.0,1,15527343.3,373779906.81,11.94,Fail
2801,"Lee, Thomas and Meyer",2022,Israel,E-Commerce,3,18,1,Idea,4,3,735117.19,634150.4,11562217.21,87799.3,96.92,82.13,49,-25,1,8.0,6,11243129.71,954986053.28,37.78,Success
2802,"Glover, Moran and Johnson",2021,Germany,FoodTech,3,15,1,MVP,1,6,3786766.91,1297273.07,10237542.17,423113.0,27.3,68.17,86,82,5,8.0,9,6963688.21,384767524.27,12.46,Success
2803,Robles-Turner,2016,UK,FinTech,3,6,0,Scale,1,4,8594805.22,919419.01,19513868.05,645012.0,32.86,21.41,80,77,4,10.0,3,19254296.23,26617022.94,49.64,Fail
2804,"Davies, Archer and Owens",2010,Germany,FinTech,1,9,1,Scale,9,6,4319204.05,1140873.31,4120282.27,999941.0,35.11,49.87,44,59,5,1.0,5,3017982.42,200097334.65,6.42,Success
2805,Friedman-Olson,2012,Canada,E-Commerce,5,11,1,Growth,8,3,400412.81,1181152.21,2839363.46,739357.0,85.7,97.6,61,-13,1,5.0,6,1525792.91,944701160.14,20.58,Success
2806,"Allen, Lewis and Mullins",2023,India,FinTech,3,16,0,Idea,4,9,17364.08,1648301.37,3245657.39,87669.40000000001,57.8,86.3,64,95,1,0.5,8,2079990.3,850757772.63,24.47,Fail
2807,"Graves, Garcia and Holder",2014,Canada,SaaS,4,6,0,Growth,10,10,6467425.86,1312652.55,19788840.16,258595.0,97.4,19.18,54,-4,0,8.0,6,19248144.15,203443694.57,21.64,Success
2808,Martin LLC,2005,India,HealthTech,2,7,0,Maturity,7,10,5405531.18,528613.38,13045021.1,510061.0,62.72,17.98,37,-83,1,2.0,2,12048978.93,977724703.11,4.67,Success
2809,Miranda-Robinson,2017,Israel,AI,4,6,1,Maturity,9,0,5427446.43,119208.68,6118457.64,849016.0,70.59,82.84,3,10,10,1.0,8,6115421.66,167291051.51,11.29,Success
2810,Wade-Lynn,2021,UK,CleanTech,1,3,0,Idea,3,3,790009.02,3971.09,4979556.09,638.4000000000001,8.92,19.89,14,-16,9,3.0,5,4970125.1,992391340.45,26.04,Success
2811,"Martinez, Taylor and Nichols",2007,China,SaaS,1,2,1,Growth,1,9,3757202.35,1808834.77,1132771.8,179970.0,95.17,45.28,20,-36,6,3.0,3,903117.65,846107521.44,39.99,Fail
2812,"Vasquez, Pope and Cook",2012,India,AI,4,18,1,Scale,3,2,9954469.98,1884220.1,2638946.57,953945.0,62.81,18.08,20,22,1,1.5,9,0.0,913520390.61,34.42,Fail
2813,Huynh PLC,2018,France,Blockchain,5,14,0,Maturity,10,8,9455301.01,188222.98,18163451.63,647073.0,52.02,1.47,50,7,2,7.0,4,17673161.44,148313058.14,27.22,Success
2814,Schneider Group,2007,Israel,IoT,1,3,1,MVP,3,4,129617.67,974107.24,14946821.21,562205.0,38.74,87.54,85,52,10,4.0,9,13735346.35,308725998.37,48.88,Fail
2815,"Paul, Hardy and Valdez",2020,Australia,FoodTech,1,8,0,Scale,10,3,8957427.68,303190.41,18831194.69,477649.0,7.71,77.9,77,22,5,1.0,0,18701392.46,705006449.94,38.05,Success
2816,"Burch, Kim and Hall",2017,Australia,CleanTech,4,12,0,Scale,8,7,6805496.5,1897498.17,8474618.73,6608.0,13.33,47.06,34,-70,5,9.0,3,3518527.6,510202207.6,43.33,Success
2817,Wilson-Miller,2024,France,IoT,1,17,1,MVP,9,4,5020903.37,493665.03,12024744.92,239852.0,1.17,15.96,3,46,9,3.0,2,11070764.51,298681227.55,0.64,Success
2818,Peterson PLC,2021,Israel,E-Commerce,5,20,1,Maturity,10,2,5827474.74,1003294.19,9673425.18,935282.0,99.87,80.64,98,-12,10,6.0,5,8154105.93,698458303.26,10.81,Fail
2819,Garner Inc,2017,UK,AI,5,15,1,MVP,5,1,8418573.63,331240.38,17627707.93,280233.0,78.63,35.94,31,12,8,0.0,8,17310306.01,781866021.13,35.99,Unclear
2820,"Richardson, Castaneda and Finley",2010,Germany,Blockchain,5,0,0,Maturity,9,7,9510373.92,665522.17,19827637.74,828564.0,79.75,66.19,91,-83,10,6.0,2,18706999.15,292566748.99,13.92,Success
2821,"Mclaughlin, Collins and Lawrence",2021,India,FoodTech,2,3,1,MVP,5,1,5603336.25,533612.72,18655504.15,477557.0,73.01,31.67,11,95,1,2.0,4,17990925.79,94968440.19,17.7,Success
2822,Boone Group,2018,USA,AI,5,17,0,Scale,4,7,1812914.47,950852.09,11961116.96,402007.0,48.41,43.23,53,60,6,6.0,1,10633632.89,578620119.61,29.54,Fail
2823,Wise-Salinas,2021,Canada,SaaS,5,7,0,Maturity,5,4,6397539.84,839563.92,1236039.54,752131.0,8.82,53.55,29,-31,0,2.0,8,0.0,402553495.9,27.13,Unclear
2824,Meyer PLC,2012,China,IoT,2,19,1,MVP,0,7,762189.68,661595.59,12350532.26,85424.0,7.23,76.2,8,-94,5,7.0,7,10460079.83,879004460.83,11.04,Unclear
2825,"Walker, Foster and Medina",2015,Australia,FoodTech,3,15,1,Maturity,4,4,6351387.37,211755.24,1940948.43,348079.0,91.64,83.21,18,-100,8,3.0,9,1329387.73,54560587.68,43.93,Fail
2826,Stewart-Cabrera,2024,Canada,IoT,1,20,1,Growth,5,0,8086118.03,968974.04,2776429.47,312792.0,0.03,44.35,79,1,7,0.0,3,137135.51,641530249.36,31.39,Fail
2827,Hood-Porter,2005,China,SaaS,5,10,1,Growth,7,10,3533314.36,1700416.04,3826893.96,432690.0,69.91,23.3,29,-2,5,0.0,10,0.0,57007050.19,34.27,Fail
2828,Hernandez-Campbell,2011,Israel,FoodTech,1,19,0,Growth,3,10,711844.24,1460446.67,7269868.42,506391.0,62.86,15.36,64,-14,5,3.0,7,5282242.46,122122607.35,41.43,Fail
2829,"Ortega, Solis and Warner",2021,China,FinTech,4,20,1,Growth,4,1,6922261.28,1441149.77,11835729.67,306221.0,50.12,34.07,44,-21,5,8.0,9,11454213.19,375038675.49,5.12,Fail
2830,"Flores, Shaw and Barker",2014,Canada,Blockchain,1,20,0,Idea,3,5,339328.75,732183.47,6671073.48,66213.1,97.5,80.18,22,-42,7,4.0,3,5285903.4,236335772.69,23.7,Success
2831,Shea-Mccarthy,2015,Australia,FinTech,2,20,1,Idea,6,2,249096.65,1416838.16,9045342.15,58114.600000000006,19.81,27.4,75,-67,1,4.0,1,7336532.57,170168505.27,4.32,Unclear
2832,Welch-Lewis,2013,Germany,EdTech,1,18,1,Scale,9,7,6891817.59,931062.96,945780.66,291422.0,78.53,4.75,4,79,10,2.0,8,0.0,795192862.64,3.67,Success
2833,Padilla-Bennett,2013,India,SaaS,1,18,1,Scale,5,4,9695864.69,300552.18,12395156.01,802670.0,67.48,56.43,83,38,8,4.0,1,12196083.72,239928649.6,36.06,Success
2834,Hernandez-Moran,2009,China,Blockchain,1,17,0,Maturity,3,2,7453223.77,838099.5,13140635.31,680370.0,97.44,3.36,66,-93,9,6.0,0,11217875.97,371024346.3,39.49,Fail
2835,"Michael, Walker and Fitzgerald",2021,Australia,CleanTech,3,18,1,MVP,5,9,4913500.41,265477.26,1987802.96,920162.0,93.41,88.49,65,-13,7,2.0,0,1851884.95,908806821.15,2.62,Fail
2836,Gates Ltd,2013,France,SaaS,3,10,0,Maturity,3,6,6005107.22,228965.64,15702343.12,405107.0,12.86,67.81,42,-48,1,4.0,2,15146935.74,787669113.15,42.12,Success
2837,Evans-Briggs,2021,Israel,HealthTech,4,2,1,Scale,7,7,1422789.09,46118.62,12949191.15,690451.0,30.77,25.68,83,42,10,2.0,9,12823050.97,528795190.35,14.06,Fail
2838,Ritter PLC,2023,China,FoodTech,2,7,1,MVP,10,3,8132132.86,565708.6,9794588.59,691023.0,85.08,46.91,1,-73,7,0.0,6,8266651.23,102956364.84,32.75,Unclear
2839,Rogers-Gregory,2011,Germany,E-Commerce,1,19,0,MVP,2,10,6042950.11,661749.57,11057197.48,853499.0,22.87,73.92,47,41,0,5.0,5,10369111.87,945999948.6,34.28,Fail
2840,Todd-Myers,2013,Canada,SaaS,1,18,0,Scale,7,8,9658303.98,1398887.43,10060914.69,863326.0,37.85,91.57,57,-11,5,2.0,2,8425007.62,712017912.17,34.82,Fail
2841,"Acosta, Campbell and Leblanc",2011,China,IoT,1,9,1,Idea,1,5,979483.37,1076009.57,1075858.87,9594.2,62.6,87.45,39,85,5,0.5,4,0.0,44757960.76,28.98,Fail
2842,"Chase, Long and Anderson",2017,India,EdTech,1,15,1,MVP,5,0,3545866.92,1716899.42,14702989.22,474257.0,56.29,6.95,98,-44,8,2.0,9,11137893.44,949324157.01,5.66,Fail
2843,"Glenn, Brown and Michael",2015,Israel,Blockchain,3,4,0,Idea,7,4,988545.94,352941.25,10236212.74,81805.5,64.06,8.11,52,79,8,4.0,5,9678552.08,81012879.6,5.59,Success
2844,Ellis-Martin,2018,Australia,FinTech,4,19,1,Scale,0,4,9568335.28,531913.29,3456477.07,111258.0,71.35,59.77,58,-64,4,4.0,9,1923645.43,606965248.36,7.05,Unclear
2845,Ramos Group,2023,France,CleanTech,5,8,0,Growth,5,6,6398319.64,1882152.22,13614617.07,819981.0,72.88,49.65,67,-99,0,8.0,1,10699554.58,399954350.78,46.05,Fail
2846,Merritt-Clark,2015,China,EdTech,2,7,1,Maturity,8,6,3334644.28,888090.5,13901312.12,361873.0,73.76,29.29,62,61,10,10.0,2,13251716.89,981079862.8,10.52,Success
2847,"Gonzalez, Curtis and Cox",2017,Canada,E-Commerce,1,10,0,Scale,9,5,7533402.21,1578101.89,4269909.39,103232.0,99.17,97.62,35,-67,0,4.0,3,1051026.88,923836345.38,7.65,Success
2848,"Garcia, Floyd and Garrison",2018,India,E-Commerce,4,15,0,Idea,9,7,271237.23,984335.3,15929901.45,59237.5,35.66,74.63,39,-43,6,1.0,7,14417267.23,602830918.52,49.42,Fail
2849,Clements-Simmons,2017,Canada,AI,5,6,0,MVP,1,1,6298438.97,942171.31,9130094.52,552350.0,4.42,68.73,5,-28,10,10.0,10,8553675.71,704200556.33,0.22,Fail
2850,Howe Inc,2005,China,E-Commerce,4,14,0,Idea,10,6,24581.61,296232.58,3612192.25,7605.1,34.89,18.13,13,88,10,5.0,0,3476727.31,823416965.63,38.83,Unclear
